id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Eric;Daugherty;Frederick_OConnell72@hotmail.com;local area network Benin;2019-09-03T19:38:41;36771;63633
2;Dimitri;Friesen;Lamar.Wiza48@gmail.com;Investor users dot-com;2019-09-03T16:22:26;57690;66892
3;Jeramie;Stracke;Daren.Reichert@gmail.com;Shoes deposit;2019-09-04T03:36:20;99455;94045
4;Janet;Wilkinson;Tavares_Tillman@gmail.com;Factors;2019-09-03T23:55:05;42818;55276
5;Vita;Marquardt;Wilhelmine29@hotmail.com;reinvent;2019-09-03T11:25:45;26847;31692
6;Jazmyne;Dach;Kaylie_Huels69@yahoo.com;Arkansas Intelligent Credit Card Account;2019-09-03T08:05:42;35864;14008
7;Deonte;Larson;Serenity_Hammes69@gmail.com;Sudanese Pound;2019-09-03T23:13:42;55281;29359
8;Elenora;Schowalter;Ramiro_Gaylord91@yahoo.com;Avon;2019-09-03T19:49:11;62789;79829
9;Clemmie;O'Conner;Maybelle.Hyatt89@gmail.com;value-added incubate Practical;2019-09-03T17:58:39;67202;3594
10;Erling;Kohler;Karen83@gmail.com;TCP Assimilated;2019-09-04T06:55:27;82260;30326
